Name, Torrent, Magnet, Size, Date, Up, Donw, Overall
[SOFCJ-Raws] One Piece 401-430 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/668805.torrent, magnet:?xt=urn:btih:c184edf3b15ef854b88789eb330b7fc1be528e74&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20401-430%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 13.3 GiB, 2015-03-22 02:25, 0, 1, 5
[SOFCJ-Raws] One Piece - 375-380 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/533432.torrent, magnet:?xt=urn:btih:1b1d1fff69e75467b041c726ccc30ad34c188018&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20375-380%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 1.8 GiB, 2014-03-17 10:39, 0, 0, 4
[SOFCJ-Raws] High School DxD (Vol.01) (BD 1280x720 x264 AAC), https://nyaa.si/download/298605.torrent, magnet:?xt=urn:btih:1d89af906c5549b895d5b6cfd7ed80b5beceb611&amp;dn=%5BSOFCJ-Raws%5D%20High%20School%20DxD%20%28Vol.01%29%20%28BD%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 614.0 MiB, 2012-03-23 20:41, 0, 0, 0
[SOFCJ-Raws] Naruto Shippuuden [307-308] (BS-J 1280x720 x264 AAC), https://nyaa.si/download/444096.torrent, magnet:?xt=urn:btih:8af9bde576092d72cd348aa171393cc9e926e916&amp;dn=%5BSOFCJ-Raws%5D%20Naruto%20Shippuuden%20%5B307-308%5D%20%28BS-J%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 589.0 MiB, 2013-06-18 07:13, 0, 0, 0
[SOFCJ-Raws] Naruto Shippuuden [307-317] (BS-J 1280x720 x264 AAC), https://nyaa.si/download/446461.torrent, magnet:?xt=urn:btih:da4ec2d9a960a8c1fd59b39c465f66c81fecec09&amp;dn=%5BSOFCJ-Raws%5D%20Naruto%20Shippuuden%20%5B307-317%5D%20%28BS-J%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.1 GiB, 2013-06-26 08:44, 0, 0, 0
[SOFCJ-Raws] Nisemonogatari(MX 1280x720 x264 AAC), https://nyaa.si/download/297419.torrent, magnet:?xt=urn:btih:a6308ee33dc309b4ce9fbc5cff6f6993e460bee9&amp;dn=%5BSOFCJ-Raws%5D%20Nisemonogatari%20%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.9 GiB, 2012-03-19 14:03, 0, 0, 0
[SOFCJ-Raws] Naruto Shippuuden [307-320] (BS-J 1280x720 x264 AAC), https://nyaa.si/download/455566.torrent, magnet:?xt=urn:btih:39564b36f08222982e2ef52b2c996641332b8a37&amp;dn=%5BSOFCJ-Raws%5D%20Naruto%20Shippuuden%20%5B307-320%5D%20%28BS-J%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 6.0 GiB, 2013-07-23 05:58, 0, 0, 0
[SOFCJ-Raws] High School DxD (Vol.02) (BD 1280x720 x264 AAC), https://nyaa.si/download/311235.torrent, magnet:?xt=urn:btih:2e0533847d877cc660004ce08e365002d0da0c28&amp;dn=%5BSOFCJ-Raws%5D%20High%20School%20DxD%20%28Vol.02%29%20%28BD%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 689.0 MiB, 2012-05-03 22:13, 0, 0, 0
[SOFCJ-Raws] One Piece - 266-278 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/560835.torrent, magnet:?xt=urn:btih:6c4b14883e9cd70d19cb404605108b882ab929e1&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20266-278%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.0 GiB, 2014-06-02 13:37, 0, 0, 0
[SOFCJ-Raws] High School DxD New(ATX-HD! 1280x720 x264 AAC), https://nyaa.si/download/475725.torrent, magnet:?xt=urn:btih:157d7a2436536d30f4746239fdec7ff856e83bd5&amp;dn=%5BSOFCJ-Raws%5D%20High%20School%20DxD%20New%20%20%28ATX-HD%21%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.1 GiB, 2013-09-22 08:42, 0, 0, 0
