NAME,TorrentURL,Magnet
[R-Raws] Tobidase! Dokan-kun [WEB-DL][1080p] (とびだせ！土管くん),/download/1171390.torrent,magnet:?xt=urn:btih:c4dda00fd163741101e341babae46911fd620f6b&dn=%5BR-Raws%5D%20Tobidase%21%20Dokan-kun%20%5BWEB-DL%5D%5B1080p%5D%20%28%E3%81%A8%E3%81%B3%E3%81%A0%E3%81%9B%EF%BC%81%E5%9C%9F%E7%AE%A1%E3%81%8F%E3%82%93%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[R-Raws] Rainbow Sentai Robin [WEB-DL][480p] (レインボー戦隊ロビン),/download/1171388.torrent,magnet:?xt=urn:btih:99b7513544d3db095f066bfc4ecfd7e50440c8c7&dn=%5BR-Raws%5D%20Rainbow%20Sentai%20Robin%20%5BWEB-DL%5D%5B480p%5D%20%28%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E6%88%A6%E9%9A%8A%E3%83%AD%E3%83%93%E3%83%B3%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[R-Raws] Ponkotsu Quest - Maou to Haken no Mamono-tachi - Season 1-5 [WEB-DL] (ポンコツクエスト~魔王と派遣の魔物たち~),/download/1171387.torrent,magnet:?xt=urn:btih:05391ed40b361ad0654dddfbb0153bba8b268918&dn=%5BR-Raws%5D%20Ponkotsu%20Quest%20-%20Maou%20to%20Haken%20no%20Mamono-tachi%20-%20Season%201-5%20%5BWEB-DL%5D%20%28%E3%83%9D%E3%83%B3%E3%82%B3%E3%83%84%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88~%E9%AD%94%E7%8E%8B%E3%81%A8%E6%B4%BE%E9%81%A3%E3%81%AE%E9%AD%94%E7%89%A9%E3%81%9F%E3%81%A1~%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[ReinForce] Toaru Majutsu no Index III (BDrip 1920x1080 x264 FLAC),/download/1171386.torrent,magnet:?xt=urn:btih:00a8d2fe632f4bd6ffbed7cc88d4cb373cc301fb&dn=%5BReinForce%5D%20Toaru%20Majutsu%20no%20Index%20III%20%28BDrip%201920x1080%20x264%20FLAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
The Saga of Tanya The Evil - Movie [BDRIP][1080P+SP],/download/1171364.torrent,magnet:?xt=urn:btih:b019aa6c32a33360caa0a566ac681598d5a7d9b9&dn=The%20Saga%20of%20Tanya%20The%20Evil%20-%20Movie%20%5BBDRIP%5D%5B1080P%2BSP%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Anime Land] Black Clover 98 (TVA 720p Hi444PP AAC) RAW [01BA7AAB].mp4,/download/1171349.torrent,magnet:?xt=urn:btih:9bc04500c392a8994d81da509269095d6e775180&dn=%5BAnime%20Land%5D%20Black%20Clover%2098%20%28TVA%20720p%20Hi444PP%20AAC%29%20RAW%20%5B01BA7AAB%5D.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Ohys-Raws] Sounan Desuka - 09 (MX 1280x720 x264 AAC).mp4,/download/1171313.torrent,magnet:?xt=urn:btih:4821c6b891495a872349f899ead9095ac7152c7f&dn=%5BOhys-Raws%5D%20Sounan%20Desuka%20-%2009%20%28MX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Ohys-Raws] Tejina Senpai - 09 (MX 1280x720 x264 AAC).mp4,/download/1171299.torrent,magnet:?xt=urn:btih:a51616209629cfead0bf0e6a189b87af5478ca72&dn=%5BOhys-Raws%5D%20Tejina%20Senpai%20-%2009%20%28MX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Ohys-Raws] Konoyo no Hate de Koi o Utau Shoujo Yu-no - 21 (AT-X 1280x720 x264 AAC).mp4,/download/1171286.torrent,magnet:?xt=urn:btih:2b3e5a954d5369895a2dfe58263c3d70f22f75bf&dn=%5BOhys-Raws%5D%20Konoyo%20no%20Hate%20de%20Koi%20o%20Utau%20Shoujo%20Yu-no%20-%2021%20%28AT-X%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Ohys-Raws] Black Clover - 98 (TX 1280x720 x264 AAC).mp4,/download/1171214.torrent,magnet:?xt=urn:btih:1b0638a4cd7457842b08303cbd313fa2a51258ae&dn=%5BOhys-Raws%5D%20Black%20Clover%20-%2098%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
